latitude,longitude,datetime,confidence,date,surface_temperature_celcius
-37.966,140.9678,2018-12-27T04:16:51,78,27-12-18,68
-35.541,140.9727,2018-12-27T00:02:15,82,27-12-18,63
-35.554,140.9737,2018-12-27T00:02:15,67,27-12-18,53
-35.543,140.9781,2018-12-27T00:02:14,86,27-12-18,67
-37.708,140.9789,2018-12-25T04:29:08,80,25-12-18,54
-35.646,140.9792,2018-12-24T13:12:01,65,24-12-18,32
-38.075,140.9806,2018-12-21T04:53:29,72,21-12-18,46
-37.636,140.981,2018-12-16T15:38:39,94,16-12-18,43
-37.624,140.9836,2018-12-16T15:38:39,69,16-12-18,33
-37.82,140.9854,2018-12-16T04:35:15,62,16-12-18,54
-37.875,140.991,2018-12-16T04:35:13,93,16-12-18,73
-37.608,140.9935,2018-12-16T04:34:58,84,16-12-18,55
-37.613,140.9954,2018-12-16T04:34:58,95,16-12-18,75
-37.644,140.9956,2018-12-16T04:34:57,59,16-12-18,55
-37.624,141.0013,2018-12-16T04:34:57,90,16-12-18,66
-37.661,141.0017,2018-12-16T04:34:57,75,16-12-18,56
-37.649,141.0021,2018-12-16T04:34:57,79,16-12-18,60
-38.057,141.0038,2018-12-16T00:21:12,93,16-12-18,73
-38.046,141.0073,2018-12-16T00:21:11,60,16-12-18,48
-38.048,141.0081,2018-12-16T00:21:11,82,16-12-18,55
-37.651,141.0133,2018-12-16T00:20:53,82,16-12-18,64
-37.63,141.0146,2018-12-16T00:20:53,53,16-12-18,57
-37.627,141.0149,2018-12-15T13:17:17,92,15-12-18,42
-37.658,141.0154,2018-12-15T13:17:17,78,15-12-18,36
-37.623,141.0156,2018-12-15T13:17:17,51,15-12-18,38
-38.038,141.0228,2018-12-15T01:16:23,65,15-12-18,40
-37.95,141.0238,2018-12-14T04:47:25,92,14-12-18,70
-38.231,141.0252,2018-12-13T04:04:19,83,13-12-18,60
-37.903,141.0253,2018-12-12T00:45:38,53,12-12-18,44
-37.987,141.0269,2018-12-10T00:57:59,50,10-12-18,38
-34.289,141.0271,2018-12-10T00:56:57,67,10-12-18,54
-36.294,141.0283,2018-12-09T00:14:34,87,09-12-18,61
-36.285,141.0286,2018-12-09T00:14:34,81,09-12-18,54
-36.277,141.0295,2018-12-09T00:14:33,84,09-12-18,58
-36.275,141.0322,2018-12-09T00:14:33,86,09-12-18,60
-36.273,141.0343,2018-12-08T13:11:44,77,08-12-18,36
-36.284,141.0357,2018-12-08T13:11:44,100,08-12-18,54
-36.282,141.0396,2018-12-08T13:11:44,100,08-12-18,71
-36.293,141.041,2018-12-08T13:11:43,100,08-12-18,52
-36.291,141.042,2018-12-08T13:11:43,56,08-12-18,40
-37.635,141.0436,2018-11-30T23:25:57,52,30-11-18,47
-37.591,141.0437,2018-11-30T15:38:36,100,30-11-18,53
-37.59,141.0446,2018-11-30T15:38:36,51,30-11-18,42
-37.633,141.0458,2018-11-30T15:38:36,64,30-11-18,42
-37.585,141.0484,2018-11-30T15:38:35,100,30-11-18,54
-37.58,141.0498,2018-11-30T15:38:35,69,30-11-18,35
-37.583,141.0499,2018-11-30T15:38:35,100,30-11-18,49
-37.38,141.0532,2018-11-30T15:38:32,61,30-11-18,31
-37.602,141.0543,2018-11-30T12:22:15,62,30-11-18,33
-37.598,141.0556,2018-11-30T12:22:15,64,30-11-18,32
-37.596,141.0562,2018-11-30T12:22:15,84,30-11-18,38
-37.63,141.0574,2018-11-30T12:22:15,81,30-11-18,42
-37.644,141.0574,2018-11-30T12:22:15,100,30-11-18,55
-37.642,141.0584,2018-11-30T12:22:15,100,30-11-18,65
-37.634,141.0604,2018-11-30T12:22:14,100,30-11-18,71
-37.384,141.0622,2018-11-30T04:35:00,84,30-11-18,59
-37.389,141.063,2018-11-30T04:35:00,73,30-11-18,50
-37.605,141.0646,2018-11-30T04:34:57,98,30-11-18,83
-37.627,141.0661,2018-11-30T04:34:57,81,30-11-18,57
-37.623,141.0669,2018-11-30T04:34:57,84,30-11-18,61
-37.6,141.0674,2018-11-30T04:34:57,99,30-11-18,86
-37.61,141.068,2018-11-30T04:34:57,69,30-11-18,48
-37.637,141.0682,2018-11-30T00:21:00,60,30-11-18,42
-37.608,141.0692,2018-11-30T00:20:53,83,30-11-18,58
-37.62,141.0704,2018-11-30T00:20:53,87,30-11-18,63
-37.618,141.0705,2018-11-30T00:20:53,95,30-11-18,76
-37.61,141.0714,2018-11-30T00:20:53,81,30-11-18,56
-37.603,141.0716,2018-11-30T00:20:53,73,30-11-18,51
-37.602,141.0728,2018-11-30T00:20:53,81,30-11-18,55
-37.6,141.0745,2018-11-30T00:20:53,69,30-11-18,50
-37.382,141.076,2018-11-30T00:20:49,64,30-11-18,41
-37.611,141.0771,2018-11-29T13:17:24,53,29-11-18,38
-37.608,141.078,2018-11-29T13:17:24,100,29-11-18,55
-37.605,141.078,2018-11-29T13:17:24,68,29-11-18,43
-34.282,141.0811,2018-11-29T03:53:16,52,29-11-18,54
-37.606,141.082,2018-11-29T03:52:10,100,29-11-18,87
-37.605,141.0877,2018-11-29T03:52:10,64,29-11-18,44
-37.61,141.088,2018-11-29T03:52:10,97,29-11-18,80
-37.609,141.089,2018-11-29T03:52:10,99,29-11-18,84
-37.749,141.0896,2018-11-28T00:33:14,50,28-11-18,42
-37.946,141.0912,2018-11-23T04:28:59,84,23-11-18,60
-37.945,141.0914,2018-11-23T04:28:59,93,23-11-18,73
-38.141,141.0921,2018-11-23T00:15:12,68,23-11-18,46
-36.952,141.0935,2018-11-23T00:14:47,63,23-11-18,60
-34.965,141.0945,2018-11-23T00:14:24,70,23-11-18,55
-37.978,141.095,2018-11-22T03:46:00,84,22-11-18,59
-37.976,141.0956,2018-11-22T03:46:00,88,22-11-18,64
-37.758,141.0957,2018-11-21T00:27:21,85,21-11-18,59
-37.862,141.0971,2018-11-14T04:35:04,87,14-11-18,65
-38.527,141.0975,2018-11-14T00:21:26,64,14-11-18,45
-37.332,141.1012,2018-11-14T00:21:07,64,14-11-18,46
-37.621,141.1038,2018-11-13T03:52:15,87,13-11-18,61
-37.614,141.1047,2018-11-13T03:52:14,81,13-11-18,53
-37.954,141.108,2018-11-13T03:52:08,64,13-11-18,42
-38.167,141.1083,2018-11-13T01:16:38,51,13-11-18,38
-38.16,141.1101,2018-11-13T01:16:37,62,13-11-18,41
-36.942,141.1109,2018-11-12T04:47:32,63,12-11-18,53
-37.864,141.1143,2018-11-12T04:47:16,58,12-11-18,41
-38.912,141.1145,2018-11-12T04:46:53,56,12-11-18,48
-36.942,141.1177,2018-11-12T00:33:15,67,12-11-18,54
-36.94,141.1239,2018-11-12T00:33:15,89,12-11-18,69
-36.943,141.1262,2018-11-11T15:08:00,51,11-11-18,29
-36.941,141.129,2018-11-11T13:30:08,80,11-11-18,37
-36.939,141.1294,2018-11-11T13:30:08,100,11-11-18,59
-37.863,141.1299,2018-11-11T04:04:25,86,11-11-18,60
-36.759,141.135,2018-11-09T04:16:56,68,09-11-18,52
-36.758,141.137,2018-11-09T04:16:56,62,09-11-18,51
-37.213,141.138,2018-11-09T04:16:53,75,09-11-18,51
-37.479,141.1396,2018-11-09T04:16:48,85,09-11-18,59
-37.467,141.1415,2018-11-09T04:16:48,72,09-11-18,47
-37.477,141.1422,2018-11-09T04:16:48,100,09-11-18,93
-37.475,141.1426,2018-11-09T04:16:48,96,09-11-18,77
-37.719,141.1427,2018-11-09T04:16:46,63,09-11-18,41
-37.692,141.1436,2018-11-09T04:16:44,87,09-11-18,62
-37.69,141.145,2018-11-09T04:16:44,97,09-11-18,80
-36.538,141.146,2018-11-08T05:12:08,60,08-11-18,43
-36.543,141.1475,2018-11-08T05:12:08,72,08-11-18,48
-36.341,141.148,2018-11-05T04:41:34,83,05-11-18,58
-36.346,141.1485,2018-11-05T04:41:34,71,05-11-18,49
-37.331,141.1508,2018-11-05T04:41:19,90,05-11-18,65
-37.329,141.151,2018-11-05T04:41:19,89,05-11-18,62
-37.34,141.1515,2018-10-28T03:52:17,81,28-10-18,56
-36.748,141.1516,2018-10-27T04:47:31,62,27-10-18,44
-36.752,141.153,2018-10-27T04:47:31,78,27-10-18,51
-36.759,141.1534,2018-10-27T04:47:31,86,27-10-18,60
-36.764,141.1549,2018-10-27T00:33:09,78,27-10-18,50
-36.765,141.1556,2018-10-27T00:33:09,74,27-10-18,47
-35.325,141.1567,2018-10-26T13:30:31,77,26-10-18,36
-35.321,141.163,2018-10-26T13:30:31,100,26-10-18,48
-35.323,141.1635,2018-10-26T13:30:31,100,26-10-18,53
-36.156,141.1662,2018-10-26T04:04:53,67,26-10-18,42
-36.152,141.1664,2018-10-26T04:04:53,69,26-10-18,44
-37.297,141.1671,2018-10-23T00:57:55,72,23-10-18,38
-36.1,141.1724,2018-10-21T01:09:55,77,21-10-18,44
-36.098,141.1741,2018-10-21T01:09:55,88,21-10-18,59
-36.1,141.176,2018-10-21T01:09:54,65,21-10-18,35
-36.098,141.182,2018-10-21T01:09:54,92,21-10-18,67
-37.586,141.1821,2018-10-20T04:41:19,80,20-10-18,46
-37.588,141.1843,2018-10-20T04:41:19,82,20-10-18,50
-37.296,141.1855,2018-10-20T00:27:12,65,20-10-18,54
-37.287,141.1856,2018-10-18T00:39:27,79,18-10-18,49
-37.295,141.1885,2018-10-18T00:39:27,75,18-10-18,46
-35.364,141.1907,2018-10-18T00:39:03,72,18-10-18,54
-35.89,141.1927,2018-10-18T00:39:02,84,18-10-18,59
-35.889,141.1987,2018-10-18T00:39:02,82,18-10-18,56
-35.892,141.2029,2018-10-18T00:39:02,71,18-10-18,49
-37.247,141.2064,2018-10-17T13:36:12,94,17-10-18,43
-35.937,141.2093,2018-10-17T04:10:59,73,17-10-18,51
-37.247,141.2238,2018-10-17T04:10:45,91,17-10-18,68
-37.587,141.2288,2018-10-17T04:10:38,58,17-10-18,41
-37.805,141.2317,2018-10-17T04:10:32,82,17-10-18,55
-37.288,141.232,2018-10-16T23:56:43,62,16-10-18,36
-37.294,141.2363,2018-10-15T04:23:01,100,15-10-18,87
-37.293,141.2381,2018-10-15T04:23:01,99,15-10-18,85
-36.851,141.2419,2018-10-15T00:08:42,78,15-10-18,46
-37.249,141.2426,2018-10-10T04:04:34,72,10-10-18,40
-38.127,141.2438,2018-10-10T04:04:19,96,10-10-18,77
-38.116,141.2448,2018-10-10T04:04:19,76,10-10-18,43
-37.245,141.245,2018-10-09T00:45:42,78,09-10-18,44
-37.091,141.2471,2018-10-08T04:16:48,72,08-10-18,41
-37.087,141.2508,2018-10-07T12:59:33,91,07-10-18,42
-35.962,141.2548,2018-10-06T04:29:25,76,06-10-18,42
